"","DONOR","RECIPIENT","SECTOR","MEASURE","CHANNEL","MODALITY","FLOW_TYPE","PRICE_BASE","MD_DIM","MD_ID","UNIT_MEASURE","BASE_PER","UNIT_MULT","obsTime","obsValue","OBS_STATUS","DECIMALS"
"209","9OTH012","GUY","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",1.267948,"A","3"
"210","9OTH012","IND","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",36.585341,"A","3"
"211","9OTH012","IDN","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",22.522093,"A","3"
"212","9OTH012","IRN","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",3.179785,"A","3"
"213","9OTH012","IRQ","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",11.345087,"A","3"
"214","9OTH012","JOR","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",0.644143,"A","3"
"215","9OTH012","KAZ","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",17.395834,"A","3"
"216","9OTH012","KEN","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",1.8117,"A","3"
"217","9OTH012","XKV","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",0.64593,"A","3"
"218","9OTH012","KGZ","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",2.081765,"A","3"
"219","9OTH012","LAO","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",1.475506,"A","3"
"220","9OTH012","LSO","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",2.434327,"A","3"
"221","9OTH012","LBR","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",2.718999,"A","3"
"222","9OTH012","MDG","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",3.341957,"A","3"
"223","9OTH012","MLI","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",0.153088,"A","3"
"224","9OTH012","MRT","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",0.632102,"A","3"
"225","9OTH012","MDA","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",9.194176,"A","3"
"226","9OTH012","MNG","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",2.376822,"A","3"
"227","9OTH012","MNE","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",0.229077,"A","3"
"228","9OTH012","MAR","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",0.554228,"A","3"
"229","9OTH012","MOZ","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",1.289347,"A","3"
"230","9OTH012","MMR","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",9.275722,"A","3"
"231","9OTH012","NPL","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",7.77753,"A","3"
"232","9OTH012","NIC","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",1.190461,"A","3"
"233","9OTH012","NER","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",1.362651,"A","3"
"234","9OTH012","NGA","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",24.575767,"A","3"
"235","9OTH012","MKD","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2010",0.51451,"A","3"
"236","9OTH012","HIPC","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2022",107.026305,"A","3"
"237","9OTH012","FSCAC","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2022",436.222993,"A","3"
"238","9OTH012","A","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2022",18.017268,"A","3"
